Library,Scope,Library Version,File Path,Vulnerabilities,License,Language,Recommended upgrade,Vulnerability List
org.autogen:mp-01000000,-,1.0.0,,,,,,[]
org.springframework.boot:spring-boot-starter,-,2.6.1,,,,,,[]
org.springframework.boot:spring-boot,-,2.6.1,,,,,,[]
org.springframework:spring-context,-,5.3.13,,,,,,[]
org.springframework:spring-aop,-,5.3.13,,,,,,[]
org.springframework:spring-beans,-,5.3.13,,,,,,[]
org.springframework:spring-expression,-,5.3.13,,,,,,[]
org.springframework.boot:spring-boot-autoconfigure,-,2.6.1,,,,,,[]
org.springframework.boot:spring-boot-starter-logging,-,2.6.1,,,,,,[]
ch.qos.logback:logback-classic,-,1.2.7,,,,,,[]
ch.qos.logback:logback-core,-,1.2.7,,,,,,[]
org.apache.logging.log4j:log4j-to-slf4j,-,2.14.1,,,,,,[]
jakarta.annotation:jakarta.annotation-api,-,1.3.5,,,,,,[]
org.springframework:spring-core,-,5.3.13,,,,,,[]
org.springframework:spring-jcl,-,5.3.13,,,,,,[]
org.yaml:snakeyaml,-,1.29,,,,,,[]
org.springframework.boot:spring-boot-starter-log4j2,-,2.6.1,,,,,,[]
org.apache.logging.log4j:log4j-slf4j-impl,-,2.14.1,,,,,,[]
org.slf4j:slf4j-api,-,1.7.25,,,,,,[]
org.apache.logging.log4j:log4j-api,-,2.14.1,,,,,,[]
org.apache.logging.log4j:log4j-core,-,2.14.1,,,,,,[]
org.slf4j:jul-to-slf4j,-,1.7.32,,,,,,[]
