Library,Scope,Library Version,File Path,Vulnerabilities,License,Language,Recommended upgrade,Vulnerability List
org.autogen:type,-,1.0.0,,,,,,[]
org.springframework:spring-web,-,5.3.7,,,,,,[]
org.springframework:spring-beans,-,5.3.7,,,,,,[]
org.springframework:spring-core,-,5.3.7,,,,,,[]
org.springframework:spring-jcl,-,5.3.7,,,,,,[]
org.camunda.bpm.model:camunda-bpmn-model,-,7.16.0,,,,,,[]
org.camunda.bpm.model:camunda-xml-model,-,7.16.0,,,,,,[]
org.camunda.bpm.model:camunda-cmmn-model,-,7.16.0,,,,,,[]
org.camunda.bpm.dmn:camunda-engine-dmn,-,7.16.0,,,,,,[]
org.camunda.commons:camunda-commons-utils,-,1.10.0,,,,,,[]
org.camunda.bpm.model:camunda-dmn-model,-,7.16.0,,,,,,[]
org.camunda.bpm.dmn:camunda-engine-feel-api,-,7.16.0,,,,,,[]
org.camunda.bpm.dmn:camunda-engine-feel-juel,-,7.16.0,,,,,,[]
org.camunda.bpm.dmn:camunda-engine-feel-scala,-,7.16.0,,,,,,[]
org.camunda.feel:feel-engine,-,1.13.1,,,,,,[]
org.camunda.commons:camunda-commons-logging,-,1.10.0,,,,,,[]
org.slf4j:slf4j-api,-,1.7.26,,,,,,[]
org.camunda.commons:camunda-commons-typed-values,-,7.16.0,,,,,,[]
org.mybatis:mybatis,-,3.5.6,,,,,,[]
joda-time:joda-time,-,2.1,,,,,,[]
org.camunda.connect:camunda-connect-core,-,1.5.2,,,,,,[]
org.camunda.connect:camunda-connect-connectors-all,-,1.5.2,,,,,,[]
org.jboss.weld.examples.jsf.translator:weld-jsf-translator-ejb,-,4.0.2.Final,,,,,,[]
org.jboss.weld.examples.jsf.translator:weld-jsf-translator-war,-,4.0.2.Final,,,,,,[]
org.jboss.weld.examples.jsf.translator:weld-jsf-translator-ear,-,4.0.2.Final,,,,,,[]
org.tranql:tranql-connector-ra,-,1.7,,,,,,[]
org.eclipse.xtend:xtend-maven-plugin,-,2.7.0,,,,,,[]
com.google.guava:guava,-,14.0.1,,,,,,[]
org.eclipse.xtend:org.eclipse.xtend.core,-,2.7.0,,,,,,[]
org.eclipse.xtext:org.eclipse.xtext.xbase,-,2.7.0,,,,,,[]
org.eclipse.xtext:org.eclipse.xtext,-,2.7.0,,,,,,[]
com.ibm.icu:icu4j,-,52.1,,,,,,[]
org.eclipse.xtext:org.eclipse.xtext.common.types,-,2.7.0,,,,,,[]
org.eclipse.equinox:common,-,3.6.200-v20130402-1505,,,,,,[]
org.eclipse.xtext:org.eclipse.xtext.xbase.lib,-,2.7.0,,,,,,[]
org.eclipse.xtext:org.eclipse.xtext.util,-,2.7.0,,,,,,[]
org.eclipse.xtext:org.eclipse.xtext.dependencies,-,2.7.0,,,,,,[]
org.eclipse.xtend:org.eclipse.xtend.lib,-,2.7.0,,,,,,[]
org.eclipse.xtend:org.eclipse.xtend.lib.macro,-,2.7.0,,,,,,[]
org.eclipse.emf:org.eclipse.emf.common,-,2.26.0,,,,,,[]
org.eclipse.emf:org.eclipse.emf.ecore,-,2.28.0,,,,,,[]
com.google.inject:guice,-,3.0,,,,,,[]
javax.inject:javax.inject,-,1,,,,,,[]
aopalliance:aopalliance,-,1.0,,,,,,[]
log4j:log4j,-,1.2.16,,,,,,[]
org.ow2.asm:asm-commons,-,5.0.1,,,,,,[]
org.ow2.asm:asm-tree,-,5.0.1,,,,,,[]
org.ow2.asm:asm,-,5.0.1,,,,,,[]
org.apache.maven:maven-core,-,3.2.1,,,,,,[]
org.apache.maven:maven-model,-,3.2.1,,,,,,[]
org.apache.maven:maven-settings,-,3.2.1,,,,,,[]
org.apache.maven:maven-settings-builder,-,3.2.1,,,,,,[]
