parent,Thrid_library,version_constraint,version
,commons-lang:commons-lang,,2.6
,com.google.code.guice:guice,,1.0
,org.hibernate:hibernate,3.1,3.1
org.hibernate:hibernate,commons-logging:commons-logging,,1.0.4
org.hibernate:hibernate,ehcache:ehcache,,1.1
ehcache:ehcache,commons-logging:commons-logging,,1.0.4
org.hibernate:hibernate,asm:asm,,1.5.3
org.hibernate:hibernate,commons-collections:commons-collections,,2.1.1
org.hibernate:hibernate,dom4j:dom4j,,1.6
org.hibernate:hibernate,javax.transaction:jta,,1.0.1B
org.hibernate:hibernate,antlr:antlr,,2.7.6rc1
,com.squareup.okhttp3:okhttp,4.12.0,4.12.0
