Thrid_library,version,type,dependency_of
zone.js,0.14.6,root,
@externs/nodejs,^1.5.0,devDependency,zone.js
@types/node,^10.9.4,devDependency,zone.js
domino,https://github.com/angular/domino.git#8f228f8862540c6ccd14f76b5a1d9bb5458618af,devDependency,zone.js
google-closure-compiler,^20240317.0.0,devDependency,zone.js
jest,^29.0,devDependency,zone.js
jest-environment-jsdom,^29.0.3,devDependency,zone.js
jest-environment-node,^29.0.3,devDependency,zone.js
mocha,^10.2.0,devDependency,zone.js
mock-require,3.0.3,devDependency,zone.js
tslib,^2.3.0,devDependency,zone.js
node_modules/@ampproject/remapping,2.3.0,package,
node_modules/@babel/code-frame,7.24.2,package,
node_modules/@babel/compat-data,7.24.4,package,
node_modules/@babel/core,7.24.5,package,
node_modules/@babel/generator,7.24.5,package,
node_modules/@babel/helper-compilation-targets,7.23.6,package,
node_modules/@babel/helper-environment-visitor,7.22.20,package,
node_modules/@babel/helper-function-name,7.23.0,package,
node_modules/@babel/helper-hoist-variables,7.22.5,package,
node_modules/@babel/helper-module-imports,7.24.3,package,
node_modules/@babel/helper-module-transforms,7.24.5,package,
node_modules/@babel/helper-plugin-utils,7.24.5,package,
node_modules/@babel/helper-simple-access,7.24.5,package,
node_modules/@babel/helper-split-export-declaration,7.24.5,package,
node_modules/@babel/helper-string-parser,7.24.1,package,
node_modules/@babel/helper-validator-identifier,7.24.5,package,
node_modules/@babel/helper-validator-option,7.23.5,package,
node_modules/@babel/helpers,7.24.5,package,
node_modules/@babel/highlight,7.24.5,package,
node_modules/@babel/highlight/node_modules/ansi-styles,3.2.1,package,
node_modules/@babel/highlight/node_modules/chalk,2.4.2,package,
node_modules/@babel/highlight/node_modules/color-convert,1.9.3,package,
node_modules/@babel/highlight/node_modules/color-name,1.1.3,package,
node_modules/@babel/highlight/node_modules/escape-string-regexp,1.0.5,package,
node_modules/@babel/highlight/node_modules/has-flag,3.0.0,package,
node_modules/@babel/highlight/node_modules/supports-color,5.5.0,package,
node_modules/@babel/parser,7.24.5,package,
node_modules/@babel/plugin-syntax-async-generators,7.8.4,package,
node_modules/@babel/plugin-syntax-bigint,7.8.3,package,
node_modules/@babel/plugin-syntax-class-properties,7.12.13,package,
node_modules/@babel/plugin-syntax-import-meta,7.10.4,package,
node_modules/@babel/plugin-syntax-json-strings,7.8.3,package,
node_modules/@babel/plugin-syntax-jsx,7.24.1,package,
node_modules/@babel/plugin-syntax-logical-assignment-operators,7.10.4,package,
node_modules/@babel/plugin-syntax-nullish-coalescing-operator,7.8.3,package,
node_modules/@babel/plugin-syntax-numeric-separator,7.10.4,package,
node_modules/@babel/plugin-syntax-object-rest-spread,7.8.3,package,
node_modules/@babel/plugin-syntax-optional-catch-binding,7.8.3,package,
node_modules/@babel/plugin-syntax-optional-chaining,7.8.3,package,
node_modules/@babel/plugin-syntax-top-level-await,7.14.5,package,
node_modules/@babel/plugin-syntax-typescript,7.24.1,package,
node_modules/@babel/template,7.24.0,package,
node_modules/@babel/traverse,7.24.5,package,
node_modules/@babel/types,7.24.5,package,
node_modules/@bcoe/v8-coverage,0.2.3,package,
node_modules/@externs/nodejs,1.5.0,package,
node_modules/@istanbuljs/load-nyc-config,1.1.0,package,
node_modules/@istanbuljs/schema,0.1.3,package,
node_modules/@jest/console,29.7.0,package,
node_modules/@jest/core,29.7.0,package,
node_modules/@jest/environment,29.7.0,package,
node_modules/@jest/expect,29.7.0,package,
node_modules/@jest/expect-utils,29.7.0,package,
node_modules/@jest/fake-timers,29.7.0,package,
node_modules/@jest/globals,29.7.0,package,
node_modules/@jest/reporters,29.7.0,package,
node_modules/@jest/schemas,29.6.3,package,
node_modules/@jest/source-map,29.6.3,package,
node_modules/@jest/test-result,29.7.0,package,
node_modules/@jest/test-sequencer,29.7.0,package,
node_modules/@jest/transform,29.7.0,package,
node_modules/@jest/types,29.6.3,package,
node_modules/@jridgewell/gen-mapping,0.3.5,package,
node_modules/@jridgewell/resolve-uri,3.1.2,package,
node_modules/@jridgewell/set-array,1.2.1,package,
node_modules/@jridgewell/sourcemap-codec,1.4.15,package,
node_modules/@jridgewell/trace-mapping,0.3.25,package,
node_modules/@sinclair/typebox,0.27.8,package,
node_modules/@sinonjs/commons,3.0.1,package,
node_modules/@sinonjs/fake-timers,10.3.0,package,
node_modules/@tootallnate/once,2.0.0,package,
node_modules/@types/babel__core,7.20.5,package,
node_modules/@types/babel__generator,7.6.8,package,
node_modules/@types/babel__template,7.4.4,package,
node_modules/@types/babel__traverse,7.20.6,package,
node_modules/@types/graceful-fs,4.1.9,package,
node_modules/@types/istanbul-lib-coverage,2.0.6,package,
node_modules/@types/istanbul-lib-report,3.0.3,package,
node_modules/@types/istanbul-reports,3.0.4,package,
node_modules/@types/jsdom,20.0.1,package,
node_modules/@types/node,10.17.60,package,
node_modules/@types/stack-utils,2.0.3,package,
node_modules/@types/tough-cookie,4.0.5,package,
node_modules/@types/yargs,17.0.32,package,
node_modules/@types/yargs-parser,21.0.3,package,
node_modules/abab,2.0.6,package,
node_modules/acorn,8.11.3,package,
node_modules/acorn-globals,7.0.1,package,
node_modules/acorn-walk,8.3.2,package,
node_modules/agent-base,6.0.2,package,
node_modules/ansi-colors,4.1.1,package,
node_modules/ansi-escapes,4.3.2,package,
node_modules/ansi-regex,5.0.1,package,
node_modules/ansi-styles,4.3.0,package,
node_modules/anymatch,3.1.3,package,
node_modules/argparse,1.0.10,package,
node_modules/asynckit,0.4.0,package,
node_modules/babel-jest,29.7.0,package,
node_modules/babel-plugin-istanbul,6.1.1,package,
node_modules/babel-plugin-istanbul/node_modules/istanbul-lib-instrument,5.2.1,package,
node_modules/babel-plugin-jest-hoist,29.6.3,package,
node_modules/babel-preset-current-node-syntax,1.0.1,package,
node_modules/babel-preset-jest,29.6.3,package,
node_modules/balanced-match,1.0.2,package,
node_modules/binary-extensions,2.3.0,package,
node_modules/brace-expansion,1.1.11,package,
