Thrid_library,version
acne/acne,dev-develop ad1d79a
doctrine/cache,2.2.0
symfony/polyfill-ctype,v1.29.0
symfony/polyfill-php80,v1.29.0
symfony/polyfill-php83,v1.29.0
symfony/polyfill-mbstring,v1.29.0
symfony/http-foundation,v7.1.1
psr/event-dispatcher,1.0.0
symfony/event-dispatcher-contracts,v3.5.0
symfony/event-dispatcher,v7.1.1
symfony/var-dumper,v7.1.1
psr/log,3.0.0
symfony/error-handler,v7.1.1
symfony/deprecation-contracts,v3.5.0
symfony/http-kernel,v7.1.1
psr/container,2.0.2
symfony/service-contracts,v3.5.0
psr/cache,3.0.0
doctrine/event-manager,2.0.1
doctrine/persistence,3.3.2
symfony/doctrine-bridge,v7.1.1
symfony/var-exporter,v7.1.1
symfony/dependency-injection,v7.1.1
symfony/polyfill-intl-normalizer,v1.29.0
symfony/polyfill-intl-grapheme,v1.29.0
symfony/string,v7.1.1
symfony/console,v7.1.1
symfony/filesystem,v7.1.1
symfony/config,v7.1.1
doctrine/lexer,3.0.1
doctrine/instantiator,2.0.0
doctrine/inflector,2.0.10
doctrine/deprecations,1.1.3
doctrine/dbal,4.0.3
doctrine/collections,2.2.2
doctrine/orm,3.2.0
symfony/routing,v7.1.1
symfony/finder,v7.1.1
symfony/cache-contracts,v3.5.0
symfony/cache,v7.1.1
symfony/framework-bundle,v7.1.1
doctrine/sql-formatter,1.4.0
doctrine/doctrine-bundle,2.12.0
doctrine/data-fixtures,1.7.0
doctrine/doctrine-fixtures-bundle,4.0.x-dev eef884e
monolog/monolog,dev-main 2eb0c09
symfony/phpunit-bridge,v7.1.1
