Thrid_library,version
anyio,1.3.1
async-generator,1.10
atomicwrites,1.4.1
attrs,23.2.0
backports-zoneinfo,0.2.1
beautifulsoup4,4.12.2
certifi,2024.2.2
cffi,1.16.0
chardet,3.0.4
click,8.1.7
colorama,0.4.6
gevent,24.2.1
ghp-import,2.1.0
greenlet,3.0.3
gunicorn,21.2.0
h11,0.14.0
httpcore,1.0.5
httpx,0.26.0
idna,2.7
importlib-metadata,7.1.0
importlib-resources,6.4.0
iniconfig,2.0.0
jinja2,3.1.4
markdown,3.6
markupsafe,2.1.5
mergedeep,1.3.4
mkdocs,1.6.0
mkdocs-get-deps,0.2.0
packaging,24.0
pathspec,0.12.1
pendulum,3.0.0
platformdirs,4.2.2
pluggy,1.5.0
py,1.11.0
pycparser,2.22
pytest,6.2.5
python-dateutil,2.9.0.post0
pyyaml,6.0.1
pyyaml-env-tag,0.1
requests,2.19.1
setuptools,70.0.0
six,1.16.0
sniffio,1.3.1
soupsieve,2.5
toml,0.10.2
tzdata,2024.1
urllib3,1.22
watchdog,4.0.0
zipp,3.18.2
zope-event,5.0
zope-interface,6.4.post0
