Thrid_library,version
anstream,0.6.14
anstyle,1.0.7
anstyle-parse,0.2.4
anstyle-query,1.1.0
anstyle-wincon,3.0.3
anyhow,1.0.86
autocfg,1.3.0
benchmark,0.0.1
bytesize,1.3.0
cargo-util-schemas,0.3.0
cc,1.0.99
clap,4.5.7
clap_builder,4.5.7
clap_lex,0.7.1
color-print,0.3.6
color-print-proc-macro,0.3.6
colorchoice,1.0.1
curl,0.4.46
curl-sys,0.4.72+curl-8.6.0
displaydoc,0.2.4
equivalent,1.0.1
erased-serde,0.4.5
form_urlencoded,1.2.1
fuchsia-cprng,0.1.1
hashbrown,0.14.5
icu_collections,1.5.0
icu_locid,1.5.0
icu_locid_transform,1.5.0
icu_locid_transform_data,1.5.0
icu_normalizer,1.5.0
icu_normalizer_data,1.5.0
icu_properties,1.5.0
icu_properties_data,1.5.0
icu_provider,1.5.0
icu_provider_macros,1.5.0
idna,1.0.0
indexmap,2.2.6
is_terminal_polyfill,1.70.0
libc,0.2.155
libz-sys,1.1.18
litemap,0.7.3
memchr,2.7.3
minimal-lexical,0.2.1
nom,7.1.3
num-traits,0.2.19
openssl-probe,0.1.5
openssl-sys,0.9.102
ordered-float,2.10.1
percent-encoding,2.3.1
pkg-config,0.3.30
proc-macro2,1.0.85
quote,1.0.36
rand,0.4.6
rand_core,0.3.1
rand_core,0.4.2
rdrand,0.4.0
remove_dir_all,0.5.3
schannel,0.1.23
semver,1.0.23
serde,1.0.203
serde-untagged,0.1.6
serde-value,0.7.0
serde_derive,1.0.203
serde_spanned,0.6.6
smallvec,1.13.2
socket2,0.5.7
stable_deref_trait,1.2.0
strsim,0.11.1
supports-unicode,3.0.0
syn,2.0.66
synstructure,0.13.1
tempdir,0.3.7
thiserror,1.0.61
thiserror-impl,1.0.61
tinystr,0.7.6
toml,0.8.14
toml_datetime,0.6.6
toml_edit,0.22.14
typeid,1.0.0
unicode-ident,1.0.12
unicode-xid,0.2.4
url,2.5.1
utf16_iter,1.0.5
utf8_iter,1.0.4
utf8parse,0.2.2
vcpkg,0.2.15
winapi,0.3.9
winapi-i686-pc-windows-gnu,0.4.0
winapi-x86_64-pc-windows-gnu,0.4.0
windows-sys,0.52.0
windows-targets,0.52.5
windows_aarch64_gnullvm,0.52.5
windows_aarch64_msvc,0.52.5
windows_i686_gnu,0.52.5
windows_i686_gnullvm,0.52.5
windows_i686_msvc,0.52.5
windows_x86_64_gnu,0.52.5
windows_x86_64_gnullvm,0.52.5
windows_x86_64_msvc,0.52.5
winnow,0.6.13
write16,1.0.0
writeable,0.5.5
yoke,0.7.4
yoke-derive,0.7.4
zerofrom,0.1.4
zerofrom-derive,0.1.4
zerovec,0.10.2
zerovec-derive,0.10.2
